alpha,CGLMP,Entanglement,NoiseDual
0.32323232323232326,2.603932329739339,0.7782238301835785,0.6859187169385936
0.3333333333333333,2.601867847602331,0.7780564596239622,0.6862309948987745
0.3434343434343434,2.5998500608038775,0.7778863566890611,0.6865559197612772
0.35353535353535354,2.5979021158258258,0.7777195013699324,0.6869088466995026
0.36363636363636365,2.5960523251402825,0.7775568466369953,0.6872700526772991
0.37373737373737376,2.593984427171367,0.7772518635119194,0.6876617297531435
0.3838383838383838,2.592750309342426,0.7772356555521766,0.6880740030919041
0.3939393939393939,2.591357146940511,0.7770782241572382,0.688476662042296
0.40404040404040403,2.5901737157381386,0.7769237483826273,0.6888895895008866
0.41414141414141414,2.589228313029249,0.7767709912298818,0.6893362137024774
0.42424242424242425,2.5885507351494974,0.7766204035715484,0.689751962338558
0.43434343434343436,2.5881682015893013,0.7764707791898955,0.6902120326156129
0.4444444444444444,2.588107229604523,0.7763350530334636,0.6906698950442844
0.45454545454545453,2.5886380970827627,0.7762938501528931,0.6911291732106831
0.46464646464646464,2.589180268231226,0.7760480464583133,0.6915705459401494
0.47474747474747475,2.5901316827681717,0.7758489422992418,0.6920233146667429
0.48484848484848486,2.5915168461653613,0.775626183909288,0.6924836915176344
0.494949494949495,2.5934898852991504,0.7755769774918483,0.6929258360487254
0.5050505050505051,2.5958484195014764,0.7754137526911091,0.6933531783718594
0.5151515151515151,2.5986702393699206,0.7752521032507705,0.6937660060030442
0.5252525252525253,2.6019643825115715,0.7750927970010767,0.6941684240554287
0.5353535353535354,2.6057362805989106,0.7749366781032283,0.694546865244936
0.5454545454545454,2.6099876234070005,0.7747847238748534,0.6949010770211614
0.5555555555555556,2.6147162985737755,0.7746380239493338,0.6952286156092478
0.5656565656565656,2.619916396147793,0.7744972870661062,0.6955325102657187
0.5757575757575758,2.625578114774898,0.7743571736702187,0.6958121719295491
0.5858585858585859,2.631688153914686,0.7742241526791194,0.6960617789703649
0.5959595959595959,2.63823006813305,0.7740993962918891,0.6962828749875745
0.6060606060606061,2.64502123433273,0.7738899445056162,0.6964599259533828
0.6161616161616161,2.652438836610878,0.7738437155058197,0.6965967568149145
0.6262626262626263,2.6602170490470574,0.7737999128344861,0.6966960126381707
0.6363636363636364,2.668325552685402,0.7737575600158639,0.696754751294554
0.6464646464646465,2.6767323693857565,0.7737159139358518,0.6967727707688327
0.6565656565656566,2.685404371244568,0.7736745532198949,0.6967496523279524
0.6666666666666666,2.6943077618539313,0.7736334361213143,0.696684726788154
0.6767676767676768,2.7033956047167167,0.7735845820290501,0.6965800241534619
0.6868686868686869,2.712641473638571,0.7735346986011232,0.6964353640472196
0.696969696969697,2.722023711474776,0.773492336442746,0.6962513052001296
0.7070707070707071,2.7315093101628225,0.7734583014670179,0.6960384072703706
0.7171717171717171,2.7410649585866573,0.7734330828966868,0.6957792274120984
0.7272727272727273,2.750657055319292,0.7734168116985838,0.6954842538502868
0.7373737373737373,2.7602517496643597,0.7734092498739819,0.6951367786598547
0.7474747474747475,2.769812671930431,0.7734084912431516,0.6947163015607656
0.7575757575757576,2.7792893221287707,0.7734050473327644,0.6944298719562985
0.7676767676767676,2.788670917005537,0.7734112557088061,0.6939157210207136
0.7777777777777778,2.7979254902296025,0.7734265109950498,0.693572994849317
0.7878787878787878,2.8070210444201056,0.7734498064295894,0.6930945834248191
0.797979797979798,2.8159257224603653,0.7734798274031344,0.6925222004684144
0.8080808080808081,2.8246111325948777,0.7735166042904199,0.692158295019013
0.8181818181818182,2.8330452602146066,0.7735577917586804,0.6916583140005736
0.8282828282828283,2.8411935396470867,0.7735996678843474,0.6911745464903642
0.8383838383838383,2.849027092003708,0.7736407994198141,0.69065528278178
0.8484848484848485,2.8565194682576505,0.7736805681265482,0.6902059051774052
0.8585858585858586,2.863645915532525,0.7737185975858626,0.6897653231784133
0.8686868686868687,2.8703833675566166,0.7737547052188597,0.6894282641068861
0.8787878787878788,2.8767103967256715,0.7737888470814779,0.6889824585792992
0.8888888888888888,2.882606378724722,0.7738292372262977,0.6885604221644831
0.898989898989899,2.8880509160494685,0.7738568315353473,0.6881654922896143
0.9090909090909091,2.8930373262344613,0.7738875800573835,0.6878004977137959
0.9191919191919192,2.8975450477097895,0.7739159492773637,0.6874678296698686
0.9292929292929293,2.9015540166265192,0.7739401338064498,0.687149261881036
0.9393939393939394,2.9050516917337568,0.7739602230766163,0.6868847014787245
0.9494949494949495,2.90802738795962,0.7739760999270162,0.6866598446584662
0.9595959595959596,2.9104721936397078,0.7739878328328128,0.6864737605842031
0.9696969696969697,2.9123789054108946,0.773995539006493,0.6863259994223738
0.9797979797979798,2.91374229014965,0.7739995128553613,0.6862226951740811
0.98989898989899,2.914559251500921,0.7740003178064134,0.6861695433418205
1.0,2.914828792951099,0.7739973881563497,0.6861445702562481
